intron	logef	Control	Autism	deltapsi
chr1:10101:10179:clu_5834_NA	0.165497603061009	0.859356518848803	0.808714502175727	-0.0506420166730753
chr1:10112:10179:clu_5834_NA	0.528548800289584	0.0637405542405999	0.0862400148084305	0.0224994605678306
chr1:10112:10184:clu_5834_NA	0.696034339783775	0.0580509061563301	0.0928624282687122	0.0348115221123821
chr1:10112:10259:clu_5834_NA	-1.52271676504391	0.00491734706611975	0.0008554025348238	-0.00406194453129595
chr1:10118:10184:clu_5834_NA	-0.0571850662021291	0.00999217760585608	0.00752613745156424	-0.00246604015429184
chr1:10118:10259:clu_5834_NA	0.189821088111675	0.00394249608229138	0.0038015147607419	-0.000140981321549479
chr1:1749314:1756836:clu_5875_NA	1.73396894818908	0.926423996423181	0.99410522783518	0.067681231411999
chr1:1756938:1770629:clu_5875_NA	-0.774082019720468	0.0375353279002383	0.00327966949512901	-0.0342556584051093
chr1:1770677:1822259:clu_5875_NA	-0.959886928468614	0.0360406756765805	0.00261510266969092	-0.0334255730068896
chr1:6100705:6101891:clu_5889_NA	-0.243550149451284	0.652551826411567	0.535732668350712	-0.116819158060855
chr1:6101932:6132815:clu_5889_NA	0.243550149451284	0.347448173588433	0.464267331649288	0.116819158060855
chr1:6885270:6931817:clu_5902_NA	-4.73121246199622	0.0094876202170612	7.44420168248464e-07	-0.00948687579689296
chr1:6885270:7151364:clu_5902_NA	4.73121246199622	0.990512379782939	0.999999255579832	0.00948687579689311
chr1:7812593:7815698:clu_5909_NA	-1.03594459429105	0.0818391945243162	0.00108544159027355	-0.0807537529340426
chr1:7812593:7826519:clu_5909_NA	3.42245490026261	0.872079505035662	0.998756205297805	0.126676700262143
chr1:7815728:7826519:clu_5909_NA	-2.38651030597155	0.0460813004400221	0.000158353111921668	-0.0459229473281004
chr1:8674745:8684369:clu_5920_NA	1.70693672491126	0.998811306670006	0.99996083095676	0.00114952428675408
chr1:8684439:8716032:clu_5920_NA	-1.70693672491126	0.00118869332999427	3.91690432401653e-05	-0.00114952428675411
chr1:9796100:9797556:clu_5924_NA	0.834970751316781	0.999998157795751	0.99999965318965	1.49539389959763e-06
chr1:9797612:9801152:clu_5924_NA	-0.834970751316781	1.84220424922252e-06	3.46810349710035e-07	-1.49539389951248e-06
chr1:9815367:9816539:clu_5926_NA	-1.3518563759248	0.394254026049788	0.110833829404528	-0.283420196645259
chr1:9815367:9833330:clu_5926_NA	1.27107969193241	0.0651971187890121	0.252494118404627	0.187296999615615
chr1:9816568:9833330:clu_5926_NA	0.08077668399239	0.5405488551612	0.636672052190844	0.0961231970296439
chr1:10338186:10339155:clu_5936_NA	-0.570386444181467	0.999999999830508	0.999999999469627	-3.60880436645061e-10
chr1:10339196:10342380:clu_5936_NA	0.570386444181467	1.69492195374237e-10	5.30372594887535e-10	3.60880399513298e-10
chr1:10408791:10412689:clu_5938_NA	0.401751189075562	2.82286469621262e-05	6.30422335130291e-05	3.48135865509029e-05
chr1:10412794:10420987:clu_5938_NA	-0.401751189075562	0.999971771353038	0.999936957766487	-3.48135865508858e-05
chr1:16046415:16047824:clu_5959_NA	4.98483793179725	0.202418487841081	0.649277622112137	0.446859134271056
chr1:16046415:16051812:clu_5959_NA	-11.3208005253239	0.769267789084903	2.04554482473859e-07	-0.769267584530421
chr1:16047883:16051812:clu_5959_NA	6.33596259352666	0.0283137230740158	0.350722173333381	0.322408450259365
chr1:19475120:19476257:clu_5993_NA	-2.24866436518599	0.884792092656918	0.211022316585218	-0.673769776071699
chr1:19475120:19477071:clu_5993_NA	1.1401955604736	0.000912475708664428	0.00644869194470414	0.00553621623603971
chr1:19476289:19477071:clu_5993_NA	1.10846880471239	0.114295431634418	0.782528991470077	0.66823355983566
chr1:19981693:19981817:clu_6007_NA	-0.626626847914117	0.331529176371776	0.124060179081732	-0.207468997290044
chr1:19981928:19983359:clu_6007_NA	0.626626847914117	0.668470823628224	0.875939820918268	0.207468997290044
chr1:21106404:21106838:clu_6014_NA	-4.02413320328416	0.999596794236852	0.442109246386135	-0.557487547850717
chr1:21106404:21113688:clu_6014_NA	4.02413320328416	0.000403205763147545	0.557890753613865	0.557487547850717
chr1:21307720:21308881:clu_6019_NA	1.27887255969999	0.990655920401768	0.941993145391161	-0.0486627750106068
chr1:21324126:21327692:clu_6019_NA	0.562894071704946	0.00379261791008653	0.00176245683105788	-0.00203016107902865
chr1:21327805:21329206:clu_6019_NA	-6.22689388146065	0.00290348978099505	1.51821143177071e-06	-0.00290197156956328
chr1:21329301:21377359:clu_6019_NA	4.38512725005571	0.00264797190715062	0.0562428795663494	0.0535949076591988
chr1:22413359:22416436:clu_6031_NA	0.541306118883904	0.000116211722609985	0.000343023547435795	0.000226811824825811
chr1:22413359:22417921:clu_6031_NA	-0.541306118883904	0.99988378827739	0.999656976452564	-0.000226811824825757
chr1:23665101:23667345:clu_6037_NA	1.90751077640668	0.0324652815075749	0.426837429478491	0.394372147970916
chr1:23665101:23670704:clu_6037_NA	-2.37302617535037	0.831838545925754	0.1513104023151	-0.680528143610654
chr1:23667510:23670704:clu_6037_NA	0.465515398943688	0.135696172566671	0.421852168206409	0.286155995639738
chr1:24746130:24766662:clu_6045_NA	1.9513597557591	0.908988798920657	0.999539186088797	0.0905503871681405
chr1:24768716:24771675:clu_6045_NA	-3.85208729967102	0.0908587391953198	0.000301441447890885	-0.0905572977474289
chr1:24771734:24775971:clu_6045_NA	1.90072754391193	0.000152461884023601	0.000159372463312044	6.91057928844303e-06
chr1:25678184:25679373:clu_6056_NA	190.823113025851	1.3286511463247e-131	1	1
chr1:25679465:25683284:clu_6056_NA	-190.823113025851	1	1.34815249560719e-35	-1
chr1:28362191:28365350:clu_6076_NA	-0.618754262973825	0.362006280835577	0.141343555568497	-0.22066272526708
chr1:28365416:28369082:clu_6076_NA	0.618754262973825	0.637993719164423	0.858656444431503	0.22066272526708
chr1:28541507:28555433:clu_6079_NA	9.53404527488728	0.01338800417288	0.999999614287353	0.986611610114473
chr1:28555534:28559432:clu_6079_NA	-9.53404527488728	0.98661199582712	3.85712646804293e-07	-0.986611610114473
chr1:29475738:29476615:clu_6087_NA	0.763641297129363	0.0119261679708626	0.0526630955072084	0.0407369275363458
chr1:29476704:29481208:clu_6087_NA	-0.763641297129363	0.988073832029137	0.947336904492792	-0.0407369275363457
chr1:31426828:31437521:clu_6093_NA	-0.0119035241254561	0.430592218530182	0.42476504950067	-0.00582716902951236
chr1:31437757:31438829:clu_6093_NA	0.011903524125456	0.569407781469818	0.57523495049933	0.0058271690295123
chr1:31454252:31465237:clu_6095_NA	2.80931833200218	0.0441503786565836	0.92714491619824	0.882994537541657
chr1:31479949:31501643:clu_6095_NA	-2.80931833200218	0.955849621343416	0.0728550838017598	-0.882994537541657
chr1:32193206:32193626:clu_6108_NA	-1.04584748589807	0.24495227506406	0.00961979331396377	-0.235332481750096
chr1:32193206:32193783:clu_6108_NA	2.62839476018852	0.638020483633034	0.987693096503829	0.349672612870795
chr1:32193682:32193783:clu_6108_NA	-1.58254727429045	0.117027241302906	0.00268711018220731	-0.114340131120699
chr1:32193878:32194199:clu_6109_NA	-3.41394681744753	1.99588474718513e-10	2.16181701476768e-13	-1.99372293017037e-10
chr1:32193881:32194199:clu_6109_NA	3.41394681744753	0.999999999800412	0.999999999999784	1.99372185427649e-10
chr1:32207818:32208439:clu_6111_NA	-122.199756347334	0.91247627772874	7.5289785548095e-106	-0.91247627772874
chr1:32209958:32210249:clu_6111_NA	122.199756347334	0.0875237222712595	1	0.912476277728741
chr1:32377427:32381496:clu_6112_NA	0.654783232738542	1.05331115174126e-07	3.90206094439598e-07	2.84874979265472e-07
chr1:32381588:32384571:clu_6112_NA	-0.654783232738542	0.999999894668885	0.999999609793906	-2.84874979161742e-07
chr1:39492070:39494395:clu_6166_NA	-3.63205769232442	0.999999999999999	0.999999999997863	-2.13584705477388e-12
chr1:39492074:39494395:clu_6166_NA	3.63205769232442	1.49653475354558e-15	2.13723380184196e-12	2.13573726708841e-12
chr1:39550110:39696854:clu_6168_NA	0.206699709407345	0.638951607516075	0.727943988807469	0.0889923812913941
chr1:39571389:39696854:clu_6168_NA	-0.206699709407345	0.361048392483925	0.272056011192531	-0.0889923812913941
chr1:39760822:39761459:clu_6172_NA	-0.31867548846773	7.2547848622428e-05	3.83567123532271e-05	-3.41911362692009e-05
chr1:39761554:39763292:clu_6172_NA	0.31867548846773	0.999927452151378	0.999961643287647	3.41911362692349e-05
chr1:39793025:39815150:clu_6175_NA	2.13813308265261	0.985240949669451	0.985725676209998	0.000484726540546321
