Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
BSS2018_A01	PAIR	109247666.0	109247666.0	1.0	0.0	60546636.0	0.554214	8573424373.0	52796592.0	7554321197.0	7345406880.0	0.0	0.006867	0.006644	0.000176	151.0	60546636.0	1.0	0.0	0.5	0.004425	0.001922			
BSS2018_A02	PAIR	146368818.0	146368818.0	1.0	0.0	81225334.0	0.554936	11595901678.0	72017036.0	10350481934.0	10066130696.0	0.0	0.00669	0.006616	0.000151	151.0	81225334.0	1.0	0.0	0.5	0.002535	0.002445			
BSS2018_B01	PAIR	116960416.0	116960416.0	1.0	0.0	75939532.0	0.649275	10895093816.0	69403548.0	10020074487.0	9728540129.0	0.0	0.006682	0.006568	0.000168	151.0	75939532.0	1.0	0.0	0.5	0.003886	0.000253			
BSS2018_B02	PAIR	139746410.0	139746410.0	1.0	0.0	90283038.0	0.646049	12934942622.0	84259088.0	12122214703.0	11818493338.0	0.0	0.006536	0.006381	0.000189	151.0	90283038.0	1.0	0.0	0.5	0.004424	0.000274			
BSS2018_C01	PAIR	112977798.0	112977798.0	1.0	0.0	78174596.0	0.691947	11279891440.0	72620950.0	10520383607.0	10217852187.0	0.0	0.006455	0.00636	0.00016	151.0	78174596.0	1.0	0.0	0.5	0.004809	0.000205			
BSS2018_C02	PAIR	163868518.0	163868518.0	1.0	0.0	106716656.0	0.651233	15261578290.0	94637158.0	13654328204.0	13273803031.0	0.0	0.006833	0.006717	0.000171	151.0	106716656.0	1.0	0.0	0.5	0.003343	0.000298			
BSS2018_D01	PAIR	171337450.0	171337450.0	1.0	0.0	103537162.0	0.604288	14747353855.0	90410204.0	12987723093.0	12630898730.0	0.0	0.006637	0.006596	0.00016	151.0	103537162.0	1.0	0.0	0.5	0.003322	0.000169			
BSS2018_D02	PAIR	173571078.0	173571078.0	1.0	0.0	122709392.0	0.706969	17675987097.0	113411772.0	16423664935.0	15980266547.0	0.0	0.006461	0.006371	0.000169	151.0	122709392.0	1.0	0.0	0.5	0.004087	0.000168			
BSS2018_E01	PAIR	148094472.0	148094472.0	1.0	0.0	101588978.0	0.685974	14654769132.0	95209636.0	13778736398.0	13410237963.0	0.0	0.006585	0.006439	0.000188	151.0	101588978.0	1.0	0.0	0.5	0.004281	0.0002			
BSS2018_E02	PAIR	155704180.0	155704180.0	1.0	0.0	120837244.0	0.776069	17617807875.0	114014596.0	16671880950.0	16207885421.0	0.0	0.006247	0.006157	0.000162	151.0	120837244.0	1.0	0.0	0.5	0.004333	0.000122			
