Sample	ACCUMULATION_LEVEL	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP
BSS2018_A01	All Reads	100.0	54623833.0	60546636.0	25.368718	0.000329	0.197737	0.534835	1.053886	3.875468	73.054818			
BSS2018_A02	All Reads	100.0	73184409.0	81225334.0	27.531333	0.000385	0.144493	0.448898	1.409903	2.024513	34.537104			
BSS2018_B01	All Reads	100.0	58480208.0	75939532.0	22.628454	0.000331	0.17419	0.558341	1.188934	2.891943	44.088438			
BSS2018_B02	All Reads	100.0	69873205.0	90283038.0	17.454948	0.000402	0.27752	0.65822	1.175978	2.323748	27.379813			
BSS2018_C01	All Reads	100.0	56488899.0	78174596.0	20.688876	0.000363	0.223343	0.598797	1.164687	3.092528	25.161699			
BSS2018_C02	All Reads	100.0	81934259.0	106716656.0	24.523187	0.000342	0.138016	0.520558	1.200823	2.82111	61.167529			
BSS2018_D01	All Reads	100.0	85668725.0	103537162.0	28.049162	0.000282	0.11463	0.450538	1.268215	2.993671	55.166183			
BSS2018_D02	All Reads	100.0	86785539.0	122709392.0	18.883481	0.000353	0.234077	0.630734	1.146735	2.742883	35.102305			
BSS2018_E01	All Reads	100.0	74047236.0	101588978.0	14.461947	0.000413	0.363393	0.716497	1.152746	2.127583	18.381871			
BSS2018_E02	All Reads	100.0	77852090.0	120837244.0	16.349691	0.000358	0.32823	0.683644	1.12056	2.75318	19.934425			
BSS2018_F01	All Reads	100.0	61607714.0	93164460.0	9.614771	0.000416	0.453793	0.810068	1.106009	1.840515	7.534714			
BSS2018_F02	All Reads	100.0	73454209.0	108057898.0	17.682769	0.000386	0.284056	0.657843	1.12619	2.903329	23.099193			
BSS2018_G01	All Reads	100.0	62620944.0	78765920.0	15.46462	0.000385	0.319512	0.697045	1.141135	2.293015	26.019601			
BSS2018_G02	All Reads	100.0	78216333.0	112015182.0	18.537805	0.000378	0.276939	0.640216	1.131061	2.797022	34.964124			
BSS2018_H01	All Reads	100.0	56415234.0	73734232.0	18.005741	0.000376	0.255323	0.651444	1.132847	2.835878	26.647416			
BSS2018_H02	All Reads	100.0	71866429.0	98355936.0	19.875537	0.000343	0.264172	0.616124	1.126325	2.986336	40.154233			
BSS_A01	All Reads	100.0	42401472.0	61359850.0	18.497476	0.000285	0.298016	0.653341	1.072479	3.19463	37.097153			
BSS_A02	All Reads	100.0	47317293.0	71809186.0	20.110762	0.00028	0.288872	0.623679	1.077302	3.346376	42.260736			
BSS_A03	All Reads	100.0	50056207.0	76180064.0	20.852035	0.000247	0.275269	0.607724	1.096253	3.358964	40.524812			
BSS_A04	All Reads	100.0	42373898.0	55721546.0	28.736935	4.4e-05	0.15764	0.47106	1.071731	3.904695	95.415812			
BSS_A05	All Reads	100.0	45245585.0	65638698.0	11.619975	5.9e-05	0.462169	0.775236	1.094781	2.150016	15.199004			
BSS_A06	All Reads	100.0	42003575.0	56654310.0	19.283063	4.3e-05	0.34823	0.636661	1.065066	2.457029	85.436177			
BSS_A07	All Reads	100.0	41056474.0	65781760.0	18.802085	4.6e-05	0.278798	0.650799	1.058823	3.174836	46.202312			
BSS_B01	All Reads	100.0	39991706.0	50528770.0	19.849962	0.000357	0.348394	0.636551	1.076666	3.341604	35.843624			
BSS_B02	All Reads	100.0	46858806.0	67831870.0	27.097499	0.00022	0.173922	0.497368	1.088864	3.994713	69.122666			
BSS_B03	All Reads	100.0	47939061.0	55212418.0	34.537018	0.034096	0.107181	0.329249	1.272937	2.720967	127.790659			
