ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
24	ENSG00000087460.23_2	GNAS	chr20	+	0.266,0.179,0.0,0.146,0.573,0.011,NA,0.187,0.193,0.046,0.0,0.0,0.265,0.498,0.219,0.712,0.409,0.0,0.247,0.027,0.0,0.0,0.134,0.0	0.224,0.204,0.0,0.175,0.0,0.0,0.0,0.0,0.057,0.05,0.088,NA,0.427,0.0,0.0,0.0,0.371,0.0,0.291,NA	1	A3SS
186	ENSG00000133958.13_2	UNC79	chr14	+	1.0,0.627,0.02,0.684,0.373,0.445,0.0,1.0,0.898,1.0,0.923,1.0,1.0,0.42,0.0,0.543,1.0,0.385,1.0,0.424,1.0,1.0,0.444,0.586	0.576,0.842,0.816,1.0,0.514,0.0,0.0,1.0,1.0,0.747,1.0,1.0,1.0,0.494,1.0,0.479,0.923,NA,1.0,NA	1	A3SS
200	ENSG00000133872.13_2	SARAF	chr8	-	1.0,1.0,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.961	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.946,0.956,NA,0.748,0.889,1.0,0.897,1.0,NA,1.0,NA	1	A3SS
227	ENSG00000070087.13_2	PFN2	chr3	-	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	1.0,1.0,1.0,0.706,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	1	A3SS
274	ENSG00000167468.16_2	GPX4	chr19	+	0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.362,0.0,0.054,0.0,NA,0.0,0.428	0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.145,NA,0.021,0.0,NA,0.0,0.0	1	A3SS
310	ENSG00000095787.21_2	WAC	chr10	+	1.0,1.0,0.766,0.3,0.664,1.0,NA,1.0,0.532,0.697,1.0,1.0,1.0,0.755,0.266,0.0,0.588,0.227,0.33,0.0,0.833,1.0,0.807,1.0	0.488,1.0,0.985,1.0,0.814,0.0,0.0,1.0,0.545,0.393,0.595,1.0,0.609,0.839,0.0,0.869,0.99,1.0,NA,1.0	1	A3SS
342	ENSG00000081189.14_2	MEF2C	chr5	-	0.791,0.87,0.624,0.547,0.609,0.441,0.55,0.695,0.364,0.486,0.663,0.0,0.715,0.53,0.533,1.0,0.0,1.0,0.398,0.33,0.825,0.056,0.507,0.465	0.534,0.55,0.685,0.897,0.636,NA,NA,0.426,0.742,0.293,0.696,NA,0.646,0.529,1.0,0.416,0.628,1.0,0.467,0.0	1	A3SS
505	ENSG00000089280.18_1	FUS	chr16	+	0.0,0.0,0.0,0.122,0.0,0.0,NA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.146,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA	1	A3SS
522	ENSG00000102181.20_2	CD99L2	chrX	-	0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,1.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0,NA,0.023,0.0,NA,0.022,0.0,NA,0.0,NA	1	A3SS
627	ENSG00000113327.14_1	GABRG2	chr5	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.984,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,NA	1	A3SS
