ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151258	73151550	73151258	73151440	73151891	73152065	0	8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	260	150	1	1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.167
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73151721	73151550	73151690	73151891	73152065	1	0,0,0,1,17,5,0,0,4,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20,0,0,0,2,0,0,35,0,0,235,0,0,0,0,0,0,0,0,0	0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	181	150	1	1.0	NA,NA,NA,1.0,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	1.0,0.0,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.2
4	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191751	74191967	74191762	74191967	74190397	74190528	4	0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,27,5,104,0,1,10,0,0,0,0,0,0,0,4,0,2,0,84,0,0,0	0,0,0,0,3,0,0,0,0,0,0,0,0,184,0,88,0,0,0,790	0,0,1,0,2,0,0,0,0,0,48,0,12,0,0,1,0,0,0,0	161	150	1	1.0	NA,NA,NA,0.0,0.0,0.0,NA,0.982,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA	NA,NA,0.0,NA,0.583,NA,NA,NA,NA,NA,0.0,NA,0.0,1.0,NA,0.988,NA,NA,NA,1.0	-0.387
6	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021552	30021281	30021347	30022219	30022310	6	19,0,12,60,61,0,188,93,0,2,8,24,6,77,21,18,0,37,19,0,0,19,10,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94,136,93,18,25,50,4,2,1,51,64,0,0,44,0,27,102,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	355	150	1	1.0	1.0,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	0.003
7	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021556	30021281	30021347	30022223	30022310	7	19,45,12,82,87,0,188,107,0,2,30,24,6,110,21,18,0,41,19,0,0,19,15,19	0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	119,136,93,18,25,83,26,2,39,73,40,0,0,46,0,27,102,0,81,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	359	150	1	1.0	1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,1.0,NA,1.0,NA	-0.05
8	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021556	30021281	30021552	30022223	30022401	8	0,45,0,23,27,0,0,14,0,0,22,0,0,33,0,0,0,4,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	25,0,0,0,0,33,22,0,38,22,0,0,0,2,0,0,0,0,81,0	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0	154	150	1	1.0	NA,1.0,NA,1.0,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA	1.0,NA,NA,NA,NA,1.0,1.0,NA,1.0,0.843,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA	0.022
10	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37388489	37388631	37388489	37388608	37390167	37390400	10	0,0,0,11,0,13,0,110,0,0,10,0,1,106,0,0,0,0,0,0,0,0,13,0	0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,20,39,16,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	173	150	1	1.0	NA,NA,NA,0.224,NA,1.0,NA,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1.0,NA,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA	-0.111
11	"ENSG00000147655.10_1"	"RSPO2"	chr8	-	108970307	108970496	108970307	108970493	108972901	108973045	11	0,0,13,1,2,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0	0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,42,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,NA,1.0,0.14,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA	1.0,1.0,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	0.077
13	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61548428	61548517	61548431	61548517	61548183	61548264	13	0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,61,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0	0,0,2,0,0,0,0,0,0,8,80,1064,0,0,5,0,0,0,0,0	9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0,NA	0.0,NA,0.662,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA	-0.027
14	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61550969	61551072	61550984	61551072	61549044	61549296	14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,54	24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0	165	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.185,0.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	-0.272
