ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151690	73151891	73152065	0	0,0,0,0,61,0,0,0,4,0,0,0,0,0,4,0,0,0,0,13,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,17,0	0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	351	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.333
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151721	73151891	73152065	1	0,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0	0,0,0,1,17,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,17,0	20,0,0,0,2,0,0,35,0,0,235,0,0,0,0,0,0,0,0,0	320	150	1	1.0	NA,NA,NA,0.0,0.627,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.0,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,0.065,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.225
2	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189454	74189849	74189454	74189567	74189658	74189849	2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,68,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,1,0,71	0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0	16,1,0,0,1,0,0,0,28,12,0,0,0,0,0,4,7,0,15,0	241	150	1	1.0	NA,0.0,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0	0.0,0.0,NA,NA,0.0,NA,NA,NA,0.0,0.631,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA	-0.079
4	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021661	30021281	30021347	30021593	30021661	4	19,0,12,88,60,0,188,93,0,2,30,24,6,78,21,18,0,37,19,0,1,19,18,20	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	136,199,93,18,51,50,4,2,1,75,278,0,0,44,0,27,102,0,44,0	0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	396	150	1	1.0	1.0,NA,1.0,0.971,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.794,1.0,1.0,1.0,1.0,1.0,1.0,NA,0.0,1.0,NA,1.0,1.0,NA,1.0,NA	0.074
7	"ENSG00000172809.12_1"	"RPL38"	chr17	+	72199842	72200097	72199842	72199909	72200056	72200097	7	74,0,0,0,0,0,0,0,0,0,0,0,25,49,0,0,0,0,0,0,0,0,1,0	0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	297	150	1	1.0	1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.202,NA	NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.36
9	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632035	35632476	35632035	35632110	35632439	35632476	9	0,0,36,0,0,0,0,0,5,18,0,0,0,38,2,0,0,0,1,21,0,0,0,0	0,0,0,6,0,0,0,0,0,0,58,0,0,78,0,0,0,0,0,0,0,0,0,14	39,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,34,0,0,19,0,0,0,0,0,0,0,0,27,0,16,0,0,0,256	479	150	1	1.0	NA,NA,1.0,0.0,NA,NA,NA,NA,1.0,1.0,0.0,NA,NA,0.132,1.0,NA,NA,NA,1.0,1.0,NA,NA,NA,0.0	0.671,0.018,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0	0.493
10	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35633623	35633954	35633623	35633675	35633820	35633954	10	0,0,0,1,0,48,0,0,0,0,0,0,0,115,26,0,0,101,3,124,0,0,0,0	0,0,0,0,0,136,0,12,0,0,39,0,0,28,0,0,0,0,0,0,0,0,0,0	0,0,23,0,0,11,1,0,0,5,0,0,0,0,1,0,8,0,8,0	41,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0	295	150	1	1.0	NA,NA,NA,1.0,NA,0.152,NA,0.0,NA,NA,0.0,NA,NA,0.676,1.0,NA,NA,1.0,1.0,1.0,NA,NA,NA,NA	0.0,NA,1.0,NA,NA,1.0,1.0,NA,0.0,0.164,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0,NA	-0.037
11	"ENSG00000269858.5_2"	"EGLN2"	chr19	+	41313042	41313456	41313042	41313179	41313388	41313456	11	0,0,0,0,0,0,0,0,0,13,0,0,0,0,108,0,0,225,31,0,0,0,2,0	0,44,0,50,53,0,0,60,0,1,0,0,0,7,84,0,33,0,34,20,0,0,21,10	3,39,0,0,6,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0	18,43,69,73,3,1,0,0,51,94,118,0,0,79,0,58,8,0,0,0	359	150	1	1.0	NA,0.0,NA,0.0,0.0,NA,NA,0.0,NA,0.845,NA,NA,NA,0.0,0.349,NA,0.0,1.0,0.276,0.0,NA,NA,0.038,0.0	0.065,0.275,0.0,0.0,0.455,0.0,NA,NA,0.0,0.066,0.034,NA,NA,0.0,NA,0.0,0.0,NA,NA,NA	0.118
15	"ENSG00000174177.12_1"	"CTU2"	chr16	+	88780790	88781145	88780790	88780894	88780994	88781145	15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0	0,19,0,38,0,0,0,0,0,0,0,0,0,53,5,0,0,0,1,0,0,0,1,0	0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,8,0,0,0,35,0,0,0,6,0,0,0,0,0,0,0	250	150	1	1.0	NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.716,NA,NA,NA,0.783,NA,NA,NA,0.0,NA	NA,1.0,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	-0.0
18	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57484404	57484634	57484404	57484478	57484575	57484634	18	79,0,0,13,0,0,0,67,7,0,0,0,30,0,44,0,0,6,15,0,0,0,1,0	437,1082,435,598,374,244,698,531,606,190,571,138,250,890,1055,240,989,85,551,788,205,506,193,690	32,29,45,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0	923,399,395,826,68,50,25,436,524,1218,946,0,482,1280,24,788,121,143,156,12	247	150	1	1.0	0.099,0.0,0.0,0.013,0.0,0.0,0.0,0.071,0.007,0.0,0.0,0.0,0.068,0.0,0.025,0.0,0.0,0.041,0.016,0.0,0.0,0.0,0.003,0.0	0.021,0.042,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.006
